source,target,tgt_lng
Whipple,Whipple,
competitive learning,aprendizaje competitivo,
Rosenblatt,Rosenblatt,
spontaneous learning,aprendizaje espontáneo,
von der Malsburg,von der Malsburg,
Fukushima,Fukushima,
Cognitron,Cognitrón,
Neocognitron,Neocognitrón,
Manuscript received,Manuscrito recibido,
SDIO Innovative Science and Technology office,oficina de Ciencia y Tecnología Innovadora de la SDIO,
ONR,ONR,
Dept. of the Army Belvoir RD&E Center,"Centro de Investigación, Desarrollo e Ingeniería Belvoir del Ejército",
Lockheed Missiles and Space Co.,Lockheed Missiles and Space Co.,
NASA,NASA,
Rome Air Development Center,Centro de Desarrollo Aéreo de Roma,
Information Systems Laboratory,Laboratorio de Sistemas de Información,
Department of Electrical Engineering,Departamento de Ingeniería Eléctrica,
Stanford University,Universidad de Stanford,
CA 94305-4055,CA 94305-4055,
USA,EE. UU.,
IEEE Log Number 9038824,Número de Registro IEEE 9038824,
adaptive antennas,antenas adaptativas,
adaptive inverse controls,controles inversos adaptativos,
adaptive noise cancelling,cancelación adaptativa de ruido,
seismic signal processing,procesamiento de señales sísmicas,
Lucky,Lucky,
Bell Laboratories,Bell Laboratories,
adaptive filters,filtros adaptativos,
adaptive equalization,ecualización adaptativa,
high-speed modems,módems de alta velocidad,
adaptive echo cancellers,canceladores de eco adaptativos,
long-distance telephone circuits,circuitos telefónicos de larga distancia,
satellite circuits,circuitos satelitales,
adaptive signal processing,procesamiento adaptativo de señales,
neural networks,redes neuronales,
feedforward neural network,red neuronal feedforward,
Werbos,Werbos,
backpropagation training algorithm,algoritmo de entrenamiento de retropropagación,
doctoral dissertation,tesis doctoral,
Parker,Parker,
M.L.T.,M.L.T.,
Hinton,Hinton,
Williams,Williams,
backpropagation network,red de retropropagación,
Madaline architectures,arquitecturas Madaline,
hard-limiting quantizers,cuantizadores de limitación dura,
signums,signos,
differentiable nonlinearities,no linealidades diferenciables,
sigmoid functions,funciones sigmoideas,
digital implementations,implementaciones digitales,
Winter,Winter,
Baxter,Baxter,
Madaline I algorithm,algoritmo Madaline I,
Madaline Rule #I,Regla Madaline #I,
David Andes,David Andes,
U.S. Naval Weapons Center,Centro de Armas Navales de EE. UU.,
China Lake,China Lake,
Madaline II,Madaline II,
Adaline,Adaline,
Madaline Rule III (MRIII),Regla Madaline III (MRIII),
error backpropagation,retropropagación de error,
nonlinear systems,sistemas no lineales,
optimal control,control óptimo,
Le Cun,Le Cun,
Pattern Recognition,Reconocimiento de Patrones,
Ph.D. thesis,tesis doctoral,
Tech. Rep.,Informe Técnico,
Stanford Electron. Labs.,Stanford Electron. Labs.,
Vectorcardiographic diagnosis,diagnóstico vectorcardiográfico,
polynomial discriminant method,método discriminante polinomial,
IEEE Trans. Biomed. Eng.,IEEE Trans. Biomed. Eng.,
vol. BME-14,vol. BME-14,
polynomial discriminant functions,funciones discriminantes polinomiales,
IEEE Trans. Electron. Comput.,IEEE Trans. Electron. Comput.,
vol. EC-16,vol. EC-16,
A. R. Barron,A. R. Barron,
Adaptive learning networks,redes de aprendizaje adaptativo,
United States,Estados Unidos,
GMDH,GMDH,
Self-Organizing Methods in Modeling,Self-Organizing Methods in Modeling,
S. J. Farlow,S. J. Farlow,
New York,Nueva York,
Marcel Dekker Inc.,Marcel Dekker Inc.,
Predicted squared error,error cuadrático predicho,
automatic model selection,selección automática de modelos,
R. L. Barron,R. L. Barron,
Statistical learning networks,redes de aprendizaje estadístico,
1988 Symp. on the Interface: Statistics and Computing Science,1988 Symp. on the Interface: Statistics and Computing Science,
Reston,Reston,
A. G. Ivakhnenko,A. G. Ivakhnenko,
Polynomial theory of complex systems,teoría polinomial de sistemas complejos,
"IEEE Trans. Syst., Man, Cybernetics","IEEE Trans. Syst., Man, Cybernetics",
SMC-1,SMC-1,
Y. H. Pao,Y. H. Pao,
Functional link nets,redes de enlace funcional,
hidden layers,capas ocultas,
AI Expert,AI Expert,
C. L. Giles,C. L. Giles,
T. Maxwell,T. Maxwell,
Learning,Aprendizaje,
invariance,invarianza,
generalization,generalización,
high-order neural networks,redes neuronales de alto orden,
Applied Optics,Applied Optics,
vol. 26,vol. 26,
"M. E. Hoff, Jr.","M. E. Hoff, Jr.",
Learning Phenomena in Networks of Adaptive Switching Circuits,Learning Phenomena in Networks of Adaptive Switching Circuits,
W. C. Ridgway III,W. C. Ridgway III,
Adaptive Logic System with Generalizing Properties,Adaptive Logic System with Generalizing Properties,
F. H. Glanz,F. H. Glanz,
Statistical Extrapolation in Certain Adaptive Pattern-Recognition Systems,Statistical Extrapolation in Certain Adaptive Pattern-Recognition Systems,
B. Widrow,B. Widrow,
1st IEEE Intl. Conf. on Neural Networks,1st IEEE Intl. Conf. on Neural Networks,
San Diego,San Diego,
adaptive adaline neuron,neurona adaline adaptativa,
chemical memistors,memistores químicos,
R. D. Griffin,R. D. Griffin,
Encoding geometric invariances in higher order neural networks,Encoding geometric invariances in higher order neural networks,
Neural Information Processing Systems,Neural Information Processing Systems,
D. Z. Anderson,D. Z. Anderson,
American Institute of Physics,American Institute of Physics,
D. Casasent,D. Casasent,
D. Psaltis,D. Psaltis,
"Position, rotation, and scale invariant optical correlation","correlación óptica invariante a posición, rotación y escala",
W.L. Reber,W.L. Reber,
J. Lyman,J. Lyman,
artificial neural system design,diseño de sistema neural artificial,
rotation and scale invariant pattern recognition,reconocimiento de patrones invariante a rotación y escala,
R. G. Winter,R. G. Winter,
Neural nets for adaptive filtering and adaptive pattern recognition,Neural nets for adaptive filtering and adaptive pattern recognition,
IEEE Computer,IEEE Computer,
A. Khotanzad,A. Khotanzad,
Y. H. Hong,Y. H. Hong,
Rotation invariant pattern recognition using zernike moments,Reconocimiento de patrones invariante a rotación utilizando momentos de Zernike,
9th Intl. Conf. on Pattern Recognition,9th Intl. Conf. on Pattern Recognition,
C. von der Malsburg,C. von der Malsburg,
Pattern recognition by labeled graph matching,Reconocimiento de patrones mediante emparejamiento de grafos etiquetados,
vol. 1,vol. 1,
A. Waibel,A. Waibel,
T. Hanazawa,T. Hanazawa,
G. Hinton,G. Hinton,
K. Shikano,K. Shikano,
K. J. Lang,K. J. Lang,
Phoneme recognition using time delay neural networks,Reconocimiento de fonemas usando redes neuronales con retardo temporal,
"IEEE Trans. Acoust., Speech, and Signal Processing","IEEE Trans. Acoust., Speech, and Signal Processing",
vol. ASSP-37,vol. ASSP-37,
C. M. Newman,C. M. Newman,
Memory capacity in neural network models,Capacidad de memoria en modelos de redes neuronales,
Y. S. Abu-Mostafa,Y. S. Abu-Mostafa,
J. St. Jacques,J. St. Jacques,
Information capacity of the Hopfield model,Capacidad de información del modelo de Hopfield,
IEEE Trans. Inform. Theory,IEEE Trans. Inform. Theory,
vol. IT-31,vol. IT-31,
Neural Networks for Computing,Neural Networks for Computing,
Amer. Inst. of Phys. Conf. Proc. No. 151,Amer. Inst. of Phys. Conf. Proc. No. 151,
J. S. Denker,J. S. Denker,
S. S. Venkatesh,S. S. Venkatesh,
Epsilon capacity of neural networks,Capacidad épsilon de redes neuronales,
cerebellar model articulation controller (CMAC),controlador de articulación de modelo cerebeloso (CMAC),
"J. Dyn. Sys., Meas., Contr.","J. Dyn. Sys., Meas., Contr.",
S. Grossberg,S. Grossberg,
Adaptive pattern classification and universal recoding,clasificación adaptativa de patrones y recodificación universal,
Biolog. Cybernetics,Biolog. Cybernetics,
G. A. Carpenter,G. A. Carpenter,
massively parallel architecture,arquitectura masivamente paralela,
self-organizing neural pattern recognition machine,máquina de reconocimiento de patrones neuronal auto-organizada,
"Computer Vision, Graphics, and Image Processing","Computer Vision, Graphics, and Image Processing",
self-organization of stable category recognition codes for analog output patterns,auto-organización de códigos de reconocimiento de categorías estables para patrones de salida analógicos,
Art 3 hierarchical search,Art 3 búsqueda jerárquica,
chemical transmitters in self-organizing pattern recognition architectures,transmisores químicos en arquitecturas de reconocimiento de patrones auto-organizadas,
Proc. Int. Joint Conf. on Neural Networks,Proc. Int. Joint Conf. on Neural Networks,
T. Kohonen,T. Kohonen,
self-organized formation of topologically correct feature maps,formación auto-organizada de mapas de características topológicamente correctos,
Self-Organization and Associative Memory,Auto-Organización y Memoria Asociativa,
Springer-Verlag,Springer-Verlag,
D. O. Hebb,D. O. Hebb,
The Organization of Behavior,La Organización de la Conducta,
Wiley,Wiley,
J. J. Hopfield,J. J. Hopfield,
neural networks and physical systems with emergent collective computational abilities,redes neuronales y sistemas físicos con habilidades computacionales colectivas emergentes,
Proc. Natl. Acad. Sci.,Proc. Natl. Acad. Sci.,
B. Kosko,B. Kosko,
adaptive bidirectional associative memories,memorias asociativas bidireccionales adaptativas,
G. E. Hinton,G. E. Hinton,
R. J. Sejnowski,R. J. Sejnowski,
D. H. Ackley,D. H. Ackley,
Boltzmann machines,máquinas de Boltzmann,
constraint satisfaction networks that learn,redes de satisfacción de restricciones que aprenden,
Tech. Rep. CMU-CS-84-119,Tech. Rep. CMU-CS-84-119,
Carnegie-Mellon University,Universidad Carnegie Mellon,
Dept. of Computer Science,Departamento de Ciencias de la Computación,
G. E. Hinton and T. J. Sejnowski,G. E. Hinton y T. J. Sejnowski,
learning and relearning in Boltzmann machines,aprendizaje y reaprendizaje en máquinas de Boltzmann,
Parallel Distributed Processing,Procesamiento Distribuido en Paralelo,
D. E. Rumelhart,D. E. Rumelhart,
J. L. McClelland,J. L. McClelland,
"Cambridge, MA","Cambridge, MA",
M.I.T. Press,M.I.T. Press,
L.R. Talbert,L.R. Talbert,
real-time adaptive speech-recognition system,sistema de reconocimiento de voz adaptativo en tiempo real,
M. J. C. Hu,M. J. C. Hu,
Application of the Adaline System to Weather Forecasting,Aplicación del Sistema Adaline a la Predicción Meteorológica,
original adaptive neural net broom-balancer,balanceador de escoba de red neuronal adaptativa original,
Proc. IEEE Intl. Symp. Circuits and Systems,Proc. IEEE Intl. Symp. Circuits and Systems,
"Phila., PA","Filadelfia, PA",
B. Widrow and S. D. Stearns,B. Widrow y S. D. Stearns,
"Englewood Cliffs, NJ","Englewood Cliffs, NJ",
Prentice-Hall,Prentice-Hall,
"B. Widrow, P. Mantey, L. Griffiths, and B. Goode","B. Widrow, P. Mantey, L. Griffiths y B. Goode",
adaptive antenna systems,sistemas de antena adaptativos,
Proc. JEEE,Proc. JEEE,
adaptive inverse control,control inverso adaptativo,
Proc. 2d Intl. Fed. of Automatic Control Workshop,Proc. 2d Intl. Fed. of Automatic Control Workshop,
"Lund, Sweden","Lund, Suecia",
Proc. IEEE,Proc. IEEE,
R. W. Lucky,R. W. Lucky,
automatic equalization for digital communication,ecualización automática para comunicación digital,
Bell Syst. Tech. J.,Bell Syst. Tech. J.,
Principles of Data Communication,Principios de Comunicación de Datos,
McGraw-Hill,McGraw-Hill,
M. M. Sondhi,M. M. Sondhi,
adaptive echo canceller,cancelador de eco adaptativo,
P. Werbos,P. Werbos,
Beyond Regression: New Tools for Prediction and Analysis in the Behavioral Sciences,Más Allá de la Regresión: Nuevas Herramientas para la Predicción y el Análisis en las Ciencias del Comportamiento,
Harvard University,Universidad de Harvard,
Y. Le Cun,Y. Le Cun,
theoretical framework for back-propagation,marco teórico para la retropropagación,
Proc. 1988 Connectionist Models Summer School,Actas de la Escuela de Verano de Modelos Conexionistas de 1988,
D. Touretzky,D. Touretzky,
"San Mateo, CA","San Mateo, CA",
Morgan Kaufmann,Morgan Kaufmann,
D. Parker,D. Parker,
Learning-logic,Lógica de Aprendizaje,
Office of Technology Licensing,Oficina de Licencias de Tecnología,
Amer. Inst. of Phys. Conf.,Conf. del Instituto Americano de Física,
J. D. Greenfield,J. D. Greenfield,
Practical Digital Design Using IC‘s,Diseño Digital Práctico Usando CI,
M. Stinchombe,M. Stinchombe,
H. White,H. White,
Proc. Intl. Joint Conf. on Neural Networks,Actas de la Conf. Conjunta Internacional sobre Redes Neuronales,
G. Cybenko,G. Cybenko,
Continuous valued neural networks with two hidden layers are sufficient,Redes neuronales de valor continuo con dos capas ocultas son suficientes,
Tufts University,Universidad de Tufts,
Mar. 1988,marzo de 1988,
B. Irie,B. Irie,
S. Miyake,S. Miyake,
Capabilities of three-layered perceptrons,Capacidades de los perceptrones de tres capas,
Proc. 2d IEEE Intl. Conf. on Neural Networks,Actas de la 2.ª Conf. Internacional IEEE sobre Redes Neuronales,
"San Diego, CA","San Diego, CA",
M. L. Minsky,M. L. Minsky,
S. A. Papert,S. A. Papert,
Perceptrons: An Introduction to Computational Geometry,Perceptrones: Una Introducción a la Geometría Computacional,
M. W. Roth,M. W. Roth,
Survey of neural network technology for automatic target recognition,Encuesta de tecnología de redes neuronales para reconocimiento automático de objetivos,
IEEE Trans. Neural Networks,Trans. IEEE sobre Redes Neuronales,
T. M. Cover,T. M. Cover,
Capacity problems for linear machines,Problemas de capacidad para máquinas lineales,
L. N. Kanal,L. N. Kanal,
Thompson Book Co.,Thompson Book Co.,
E. B. Baum,E. B. Baum,
On the capabilities of multilayer perceptrons,Sobre las capacidades de los perceptrones multicapa,
A. Lapedes,A. Lapedes,
R. Farber,R. Farber,
How neural networks work,Cómo funcionan las redes neuronales,
Tech. Rep. LA-UR-88-418,Informe Técnico LA-UR-88-418,
Los Alamos Nat. Laboratory,Laboratorio Nacional de Los Álamos,
D. Nguyen,D. Nguyen,
Improving the learning speed of 2-layer neural networks by choosing initial values,Mejora de la velocidad de aprendizaje de redes neuronales de 2 capas eligiendo valores iniciales,
Approximation by superpositions of a sigmoidal function,Aproximación por superposiciones de una función sigmoidea,
"Mathematics of Control, Signals, and Systems","Matemáticas de Control, Señales y Sistemas",
D. Haussler,D. Haussler,
What size net gives valid generalization?,¿Qué tamaño de red da una generalización válida?,
Neural Computation,Computación Neuronal,
J.J. Hopfield,J.J. Hopfield,
D. W. Tank,D. W. Tank,
Neural computations of decisions in optimization problems,Cómputos neuronales de decisiones en problemas de optimización,
K. S. Narendra,K. S. Narendra,
K. Parthasarathy,K. Parthasarathy,
Identification and control of dynamical systems using neural networks,Identificación y control de sistemas dinámicos usando redes neuronales,
JEEE Trans. Neural Networks,Trans. JEEE sobre Redes Neuronales,
C. H. Mays,C. H. Mays,
Adaptive Threshold Logic,Lógica de Umbral Adaptativo,
Tech. Rep. 1557-1,Informe Técnico 1557-1,
"Stanford, CA","Stanford, CA",
F. Rosenblatt,F. Rosenblatt,
On the convergence of reinforcement procedures in simple perceptrons,Sobre la convergencia de procedimientos de refuerzo en perceptrones simples,
Cornell Aeronautical Laboratory,Laboratorio Aeronáutico Cornell,
Report VG-1196-G-4,Informe VG-1196-G-4,
"Buffalo, NY","Buffalo, NY",
H. Block,H. Block,
"The perceptron: A model for brain functioning, 1","El perceptrón: Un modelo para el funcionamiento del cerebro, 1",
Rev. Modern Phys.,Rev. de Física Moderna,
Madaline Rule II,Regla Madaline II,
A New Method for Training Networks of Adalines,Un Nuevo Método para Entrenar Redes de Adalinas,
E. Walach,E. Walach,
The least mean fourth (lmf) adaptive algorithm and its family,El algoritmo adaptativo de media cuadrática mínima (lmf) y su familia,
F. Wilczek,F. Wilczek,
Supervised learning of probability distributions by neural networks,Aprendizaje supervisado de distribuciones de probabilidad por redes neuronales,
D. B. Parker,D. B. Parker,
Optimal algorithms for adaptive neural networks,Algoritmos óptimos para redes neuronales adaptativas,
Proc. 1st IEEE Intl. Conf. on Neural Networks,Actas de la 1.ª Conferencia Internacional IEEE sobre Redes Neuronales,
A. J. Owens,A. J. Owens,
D. L. Filkin,D. L. Filkin,
D. G. Luenberger,D. G. Luenberger,
Linear and Nonlinear Programming,Programación Lineal y No Lineal,
"Reading, MA","Reading, MA",
Addison-Wesley,Addison-Wesley,
A. Kramer,A. Kramer,
A. Sangiovanni-Vincentelli,A. Sangiovanni-Vincentelli,
Efficient parallel learning algorithms for neural networks,Algoritmos de aprendizaje paralelo eficientes para redes neuronales,
Computational Research in Economics and Management Science,Investigación Computacional en Economía y Ciencias de la Gestión,
M.I.T.,M.I.T.,
Apr. 1985,abr. 1985,
R. J. Williams,R. J. Williams,
Learning internal representations by error propagation,Aprendizaje de representaciones internas mediante propagación de errores,
ICS Report 8506,Informe ICS 8506,
Institute for Cognitive Science,Instituto de Ciencias Cognitivas,
University of California at San Diego,Universidad de California en San Diego,
La Jolla,La Jolla,
Sept. 1985,sept. 1985,
Cambridge,Cambridge,
R. Baxter,R. Baxter,
Learning phenomena in layered neural networks,Fenómenos de aprendizaje en redes neuronales en capas,
June 1987,jun. 1987,
R. P. Lippmann,R. P. Lippmann,
An introduction to computing with neural nets,Una introducción a la computación con redes neuronales,
IEEE ASSP Mag.,IEEE ASSP Mag.,
Apr. 1987,abr. 1987,
J. A. Anderson,J. A. Anderson,
E. Rosenfeld,E. Rosenfeld,
Neurocomputing: Foundations of Research,Neurocomputación: Fundamentos de la Investigación,
N. Nilsson,N. Nilsson,
Learning Machines,Máquinas de Aprendizaje,
B. Moore,B. Moore,
Art 1 and pattern clustering,Art 1 y agrupamiento de patrones,
T. Sejnowski,T. Sejnowski,
June 17-26 1988,17-26 de junio de 1988,
San Mateo,San Mateo,
DARPA Neural Network Study,Estudio de Redes Neuronales de DARPA,
Fairfax,Fairfax,
AFCEA International Press,AFCEA International Press,
The truck backer-upper,The truck backer-upper,
self-learning in neural networks,autoaprendizaje en redes neuronales,
Wash.,Wash.,
T. J. Sejnowski,T. J. Sejnowski,
C. R. Rosenberg,C. R. Rosenberg,
Nettalk,Nettalk,
parallel network that learns to read aloud,red paralela que aprende a leer en voz alta,
Tech. Rep. JHU/EECS-86/01,Informe Técnico JHU/EECS-86/01,
Johns Hopkins University,Universidad Johns Hopkins,
Parallel networks that learn to pronounce English text,Redes paralelas que aprenden a pronunciar texto en inglés,
Complex Systems,Sistemas Complejos,
P. M. Shea,P. M. Shea,
V. Lin,V. Lin,
Detection of explosives in checked airline baggage using an artificial neural system,Detección de explosivos en equipaje facturado de aerolíneas mediante un sistema neuronal artificial,
June 1989,jun. 1989,
D. G. Bounds,D. G. Bounds,
P. J. Lloyd,P. J. Lloyd,
B. Mathew,B. Mathew,
G. Waddell,G. Waddell,
multilayer perceptron network,red perceptrón multicapa,
diagnosis of low back pain,diagnóstico del dolor lumbar,
July 1988,jul. 1988,
G. Bradshaw,G. Bradshaw,
R. Fozzard,R. Fozzard,
L. Ceci,L. Ceci,
connectionist expert system,sistema experto conexionista,
Advances in Neural Information Processing Systems I,Avances en Sistemas de Procesamiento de Información Neuronal I,
D. S. Touretzky,D. S. Touretzky,
N. Mokhoff,N. Mokhoff,
Neural nets making the leap out of Jab,Redes neuronales dando el salto fuera de Jab,
Electronic Engineering Times,Electronic Engineering Times,
"Jan. 22, 1990",22 de enero de 1990,
C. A. Mead,C. A. Mead,
Analog VLSI and Neural Systems,VLSI Analógico y Sistemas Neuronales,
Reading,Reading,
M. E. Hoff,M. E. Hoff,
Adaptive switching circuits,Circuitos de conmutación adaptativa,
1960 IRE Western Electric Show and Convention Record,Registro de la Exposición y Convención Occidental de IRE de 1960,
"Aug. 23, 1960",23 de agosto de 1960,
Tech. Rep. 1553-1,Informe Técnico 1553-1,
"June 30, 1960",30 de junio de 1960,
P. M. Lewis,P. M. Lewis,
C. Coates,C. Coates,
Threshold Logic,Lógica de Umbral,
Geometrical and Statistical Properties of Linear Threshold Devices,Propiedades Geométricas y Estadísticas de Dispositivos de Umbral Lineal,
Tech. Rep. 6107-1,Informe Técnico 6107-1,
May 1964,may. 1964,
R. J. Brown,R. J. Brown,
Adaptive Multiple-Output Threshold Systems and Their Storage Capacities,Sistemas de Umbral Adaptativos de Múltiples Salidas y sus Capacidades de Almacenamiento,
Tech. Rep. 6771-1,Informe Técnico 6771-1,
June 1964,jun. 1964,
R. O. Winder,R. O. Winder,
Princeton University,Universidad de Princeton,
Princeton,Princeton,
S. H. Cameron,S. H. Cameron,
An estimate of the complexity requisite in a universal decision network,Una estimación de la complejidad requerida en una red de decisión universal,
Proc. 1960 Bionics Symposium,Actas del Simposio de Biónica de 1960,
Wright Air Development Division Tech. Rep. 60-600,Informe Técnico de la División de Desarrollo Aéreo Wright 60-600,
Dayton,Dayton,
Dec. 1960,dic. 1960,
R. D. Joseph,R. D. Joseph,
The number of orthants in n-space intersected by an s-dimensional subspace,El número de ortantes en el espacio n-dimensional intersecados por un subespacio s-dimensional,
Tech. Memorandum 8,Memorando Técnico 8,
Project PARA,Proyecto PARA,
Buffalo,Buffalo,
D. F. Specht,D. F. Specht,
Generation of Polynomial Discriminant Functions,Generación de Funciones Discriminantes Polinómicas,
a-LMS,a-LMS,
quickprop method,método quickprop,
delta-bar-delta,delta-bar-delta,
FahIman,FahIman,
Jacobs,Jacobs,
Williams and Zipser,Williams y Zipser,
Narendra and Parthasarathy,Narendra y Parthasarathy,
steepest-descent algorithm,algoritmo de descenso más pronunciado,
IIR filters,filtros IIR,
backpropagation through time,retropropagación a través del tiempo,
Nguyen and Widrow,Nguyen y Widrow,
Adalines,Adalines,
Madaline Rule Ill,Regla Madaline III,
MRIII algorithm,algoritmo MRIII,
analog neurocomputing chip,chip neuroinformático analógico,
single Adaline MRIII technique,técnica MRIII de Adaline individual,
multi-element generalization,generalización multielemento,
two-layer feedforward architecture,arquitectura feedforward de dos capas,
Boolean function,función booleana,
networks with more than two layers,redes con más de dos capas,
Nonfinite-order predicate mappings,mapeos de predicados de orden no finito,
connectedness problem,problema de conectividad,
signal feedback,retroalimentación de señal,
Cover,Cover,
feedforward network,red feedforward,
two-layer signum network,red signum de dos capas,
fully connected feedforward network,red feedforward completamente conectada,
signum Adalines,Adalines signum,
Baum's results,resultados de Baum,
deterministic pattern capacity,capacidad de patrón determinista,
upper bound,cota superior,
lower bound,cota inferior,
statistical capacity,capacidad estadística,
single-layer network,red de una sola capa,
multilayer networks,redes multicapa,
learning rules,reglas de aprendizaje,
substrates,sustratos,
invention,invención,
WIDROW AND LEHR,WIDROW Y LEHR,
K. Steinbuch,K. Steinbuch,
V. A. W. Piske,V. A. W. Piske,
Learning matrices,matrices de aprendizaje,
information storage,almacenamiento de información,
networks of adaline 'neurons',redes de neuronas adaline,
Self-Organizing Systems 1962,Sistemas Autoorganizados 1962,
M. Yovitz,M. Yovitz,
G. Jacobi,G. Jacobi,
G. Goldstein,G. Goldstein,
Spartan Books,Spartan Books,
L. Stark,L. Stark,
M. Okajima,M. Okajima,
G. H. Whipple,G. H. Whipple,
Computer pattern recognition techniques,técnicas de reconocimiento de patrones por computadora,
Electrocardiographic diagnosis,diagnóstico electrocardiográfico,
Commun. Ass. Comput. Mach.,Commun. Ass. Comput. Mach.,
Two theorems of statistical separability in the perceptron,Dos teoremas de separabilidad estadística en el perceptrón,
Mechanization of Thought Processes,Mecanización de los Procesos de Pensamiento,
National Physical Laboratory,Laboratorio Nacional de Física,
Principles of Neurodynamics,Principios de Neurodinámica,
Perceptrons,Perceptrones,
Theory of Brain Mechanisms,Teoría de los Mecanismos Cerebrales,
Self-organizing of orientation sensitive cells in the striate cortex,Autoorganización de células sensibles a la orientación en la corteza estriada,
Kybernetik,Kybernetik,
Adaptive pattern classification,clasificación adaptativa de patrones,
universal recoding,recodificación universal,
Parallel development and coding of neural feature detectors,desarrollo paralelo y codificación de detectores de características neuronales,
K. Fukushima,K. Fukushima,
self-organizing multilayered neural network,red neuronal multicapa autoorganizada,
Bootstrap learning,aprendizaje bootstrap,
threshold logic systems,sistemas de lógica umbral,
American Automatic Control Council,American Automatic Control Council,
IFAC Meeting,Reunión de la IFAC,
London,Londres,
England,Inglaterra,
N. K. Gupta,N. K. Gupta,
S. Maitra,S. Maitra,
adaptive threshold systems,sistemas de umbral adaptativo,
A. G. Barto,A. G. Barto,
R. S. Sutton,R. S. Sutton,
C. W. Anderson,C. W. Anderson,
Neuronlike adaptive elements,elementos adaptativos similares a neuronas,
difficult learning control problems,problemas difíciles de control de aprendizaje,
J. S. Albus,J. S. Albus,
manipulator control,control de manipulador,
R. V. Southwell,R. V. Southwell,
Relaxation Methods in Engineering Science,Métodos de Relajación en Ciencias de la Ingeniería,
Oxford,Oxford,
D. J. Wilde,D. J. Wilde,
Optimum Seeking Methods,Métodos de Búsqueda Óptima,
N. Wiener,N. Wiener,
T. Kailath,T. Kailath,
linear filtering theory,teoría de filtrado lineal,
H. Bode,H. Bode,
C. Shannon,C. Shannon,
linear least squares smoothing and prediction theory,teoría de suavizado y predicción por mínimos cuadrados lineales,
Proc. IRE,Actas del IRE,
E. D. Sontag,E. D. Sontag,
H. J. Sussmann,H. J. Sussmann,
Backpropagation separates when perceptrons do,La retropropagación separa cuando los perceptrones lo hacen,
"Wash., DC","Washington, D.C.",
Backpropagation can give rise to spurious local minima even for networks without hidden layers,La retropropagación puede dar lugar a mínimos locales espurios incluso para redes sin capas ocultas,
J. J. Shynk,J. J. Shynk,
S. Roy,S. Roy,
the lms algorithm with momentum updating,el algoritmo LMS con actualización de momento,
ISCAS 88,ISCAS 88,
"Espoo, Finland","Espoo, Finlandia",
S. E. Fahlman,S. E. Fahlman,
Faster learning variations on backpropagation: An empirical study,Variaciones de aprendizaje más rápido en retropropagación: Un estudio empírico,
R.A. Jacobs,R.A. Jacobs,
Increased rates of convergence through learning rate adaptation,Mayores tasas de convergencia mediante adaptación de la tasa de aprendizaje,
F. J. Pineda,F. J. Pineda,
Generalization of backpropagation to recurrent neural networks,Generalización de la retropropagación a redes neuronales recurrentes,
Phys. Rev. Lett.,Cartas de Revisión Física,
L. B. Almeida,L. B. Almeida,
